origin_iso3,hs4,partner_iso3,destination_gnn_logit,destination_gnn_score,supply_gnn_logit,supply_gnn_score,market_data_available,destination_import_value,destination_import_growth,market_concentration,competitor_count,mkd_existing_export_value,mkd_historical_export_value,mkd_bilateral_trade,gravity_data_available,distance,contiguous,common_language,fta,macro_data_available,destination_gdp,destination_gdp_pc,destination_population,mkd_supply_capacity,mkd_supply_growth,tariff_data_available,tariff_rate,section,score,rank,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
MKD,2608,TUR,0.515509,0.626097,0.325143,0.580577,1.000000,1471866.000000,3.068856,0.562602,10.000000,0.000000,0.000000,1717497910.950000,1.000000,637.000000,0.000000,0.000000,1.000000,1.000000,788356985773.666992,9684.118199,81407204.000000,62038331.000000,0.000000,0.000000,0.000000,26,0.923697,14,22.516115,0.923697,0.682277,1.000000,1196.809524,3237.855325,0.000309,0.923697,14,validation_pairwise_bootstrap
MKD,2620,BIH,0.364543,0.590140,0.331019,0.582007,1.000000,121457.370000,3.784436,0.673702,6.000000,0.000000,0.000000,536348964.350000,1.000000,324.000000,0.000000,0.000000,1.000000,1.000000,20484058033.114399,6047.847072,3387000.000000,13084436.000000,0.088411,0.000000,0.000000,26,0.924067,15,22.451312,0.924067,0.502741,1.000000,1922.904762,6057.653089,0.000165,0.924067,15,validation_pairwise_bootstrap
MKD,5101,HRV,0.456622,0.612213,0.308089,0.576419,1.000000,512.000000,3.618802,0.696480,2.000000,0.000000,0.000000,692429619.100000,1.000000,609.000000,0.000000,0.000000,1.000000,1.000000,61668280700.096802,15460.456080,3988775.000000,917541.000000,0.102052,0.000000,0.000000,51,0.934212,16,22.363217,0.934212,0.729201,1.000000,2353.380952,7266.304795,0.000138,0.934212,16,validation_pairwise_bootstrap
MKD,7112,BIH,0.363856,0.589974,0.334271,0.582798,1.000000,463473.630000,3.465194,0.671035,2.000000,0.000000,0.000000,536348964.350000,1.000000,324.000000,0.000000,0.000000,1.000000,1.000000,20484058033.114399,6047.847072,3387000.000000,12069075.000000,0.326031,0.000000,0.000000,71,0.910016,17,22.124407,0.910016,0.392684,1.000000,1628.714286,4588.168139,0.000218,0.910016,17,validation_pairwise_bootstrap
MKD,2523,CHN,0.618323,0.649837,0.382560,0.594490,1.000000,652566517.000000,2.365748,0.555846,69.000000,0.000000,0.000000,2065915196.610000,1.000000,8507.000000,0.000000,0.000000,0.000000,1.000000,14147765772963.800781,10085.663815,1402760000.000000,12211921.000000,0.494264,0.000000,0.000000,25,0.886228,18,21.913918,0.886228,0.020250,1.000000,955.666667,2239.263024,0.000446,0.886228,18,validation_pairwise_bootstrap
MKD,2618,SRB,0.432619,0.606499,0.316797,0.578543,1.000000,1374.000000,3.166241,0.483096,4.000000,0.000000,0.000000,3684071029.560000,1.000000,323.000000,1.000000,0.000000,0.000000,1.000000,52787520248.924202,7559.861657,6982604.000000,846868.000000,0.408925,0.000000,0.000000,26,0.920559,19,21.757725,0.920559,0.415891,1.000000,1425.190476,2903.366267,0.000344,0.920559,19,validation_pairwise_bootstrap
MKD,5108,SVN,0.412704,0.601736,0.297689,0.573878,1.000000,65771.030000,4.173451,0.626800,3.000000,0.000000,0.000000,817175729.910000,1.000000,714.000000,0.000000,0.000000,1.000000,1.000000,53689067639.917603,25888.048107,2073894.000000,0.000000,0.000000,0.000000,0.000000,51,0.937817,20,21.578018,0.937817,0.757999,1.000000,4686.190476,12557.342548,0.000080,0.937817,20,validation_pairwise_bootstrap
MKD,5207,NLD,0.519950,0.627136,0.318217,0.578890,1.000000,10594889.475000,1.199729,0.189078,55.000000,36714.390000,68284.110000,672982275.210000,1.000000,1696.000000,0.000000,0.000000,1.000000,1.000000,929733599796.862061,53955.077002,17231624.000000,5521967.000000,0.069469,0.000000,0.000000,52,0.870422,21,20.955170,0.870422,0.018167,1.000000,2038.476190,7275.284643,0.000137,0.870422,21,validation_pairwise_bootstrap
MKD,2401,HRV,0.484212,0.618742,0.329777,0.581705,1.000000,48485877.000000,1.019847,0.128037,33.000000,24061.370000,5467027.530000,692429619.100000,1.000000,609.000000,0.000000,0.000000,1.000000,1.000000,61668280700.096802,15460.456080,3988775.000000,147045402.000000,0.075472,0.000000,0.000000,24,0.855213,22,20.947449,0.855213,0.017225,1.000000,1284.285714,4100.121603,0.000244,0.855213,22,validation_pairwise_bootstrap
MKD,7401,HUN,0.413363,0.601894,0.304224,0.575475,1.000000,76244.000000,3.149672,0.888515,2.000000,0.000000,0.000000,860792414.150000,1.000000,640.000000,0.000000,0.000000,1.000000,1.000000,161184691013.834991,16605.057051,9706964.000000,10641.000000,-0.149871,0.000000,0.000000,74,0.904966,23,20.807338,0.904966,0.459507,1.000000,4796.047619,11474.375445,0.000087,0.904966,23,validation_pairwise_bootstrap
