hs4,gnn_logit,gnn_score,score,density,pci,cog,complexity_gain,section,rank,global_demand_value,global_demand_growth,global_market_concentration,historical_active_years,historical_export_persistence,supply_capacity,gnn_logit_percentile,gnn_score_percentile,density_percentile,pci_percentile,cog_percentile,global_demand_value_percentile,global_demand_growth_percentile,supply_capacity_percentile,adamic_adar,jaccard,cn,pref_attach,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
4203,0.321284,0.579637,0.018113,0.178144,0.412272,0.163771,,42,72,6971696635.000000,-0.050159,0.095341,19.000000,19.000000,2199436,0.770370,0.770370,0.956614,0.302646,0.214815,0.687831,0.135450,0.258730,,,,,-249.394141,0.018113,0.015247,0.019347,75.428571,17.289059,0.054677,0.018113,72,validation_pairwise_bootstrap
4817,0.335323,0.583054,0.017982,0.163016,1.215283,0.426626,,48,73,1009996636.000000,-0.006120,0.059130,14.000000,7.000000,18391038,0.912169,0.912169,0.889947,0.469841,0.390476,0.305820,0.372487,0.629101,,,,,-249.406414,0.017982,0.014269,0.020565,78.238095,26.915927,0.035822,0.017982,73,validation_pairwise_bootstrap
4417,0.315373,0.578196,0.017770,0.160623,0.487801,0.271152,,44,74,505780343.000000,0.157267,0.251526,9.000000,3.000000,9186633,0.685714,0.685714,0.873016,0.314286,0.271958,0.188360,0.985185,0.451852,,,,,-249.423753,0.017770,0.014574,0.019915,80.571429,23.152849,0.041403,0.017770,74,validation_pairwise_bootstrap
2201,0.338021,0.583710,0.017906,0.178726,-0.331759,0.104235,,22,75,3942266192.000000,0.037903,0.122546,19.000000,19.000000,65193156,0.930159,0.930159,0.959788,0.207407,0.180952,0.565079,0.796825,0.732275,,,,,-249.423757,0.017906,0.015999,0.020102,78.190476,14.194630,0.065813,0.017906,75,validation_pairwise_bootstrap
8450,0.305792,0.575858,0.017933,0.131733,1.691398,0.677369,,84,76,13201954971.000000,-0.016717,0.118262,19.000000,19.000000,686694105,0.469841,0.469841,0.637037,0.577778,0.584127,0.794709,0.303704,0.879894,,,,,-249.424458,0.017933,0.016477,0.018854,77.190476,12.878994,0.072051,0.017933,76,validation_pairwise_bootstrap
7215,0.325414,0.580643,0.017735,0.148841,1.301082,0.607688,,72,77,2861356611.000000,-0.024674,0.068259,15.000000,13.000000,423064991,0.823280,0.823280,0.807407,0.495238,0.532275,0.513228,0.252910,0.828042,,,,,-249.445181,0.017735,0.015812,0.019260,80.285714,15.736348,0.059750,0.017735,77,validation_pairwise_bootstrap
8514,0.277012,0.568814,0.017251,0.094336,4.459458,1.505228,,85,78,6163500675.000000,0.026875,0.088129,18.000000,16.000000,869392763,0.026455,0.026455,0.147090,0.987302,1.000000,0.660317,0.717460,0.957672,,,,,-249.461986,0.017251,0.013088,0.020510,88.047619,34.560473,0.028121,0.017251,78,validation_pairwise_bootstrap
2617,0.315021,0.578110,0.017038,0.158723,-3.614351,-0.434971,,26,79,474042237.000000,-0.023552,0.119397,4.000000,1.000000,225638866,0.677249,0.677249,0.861376,0.008466,0.005291,0.180952,0.260317,0.792063,0.000000,0.000000,0.000000,92053.000000,-249.465198,0.017038,0.012621,0.020846,92.761905,42.789523,0.022837,0.017038,79,validation_pairwise_bootstrap
1003,0.304635,0.575575,0.017211,0.139801,0.491671,0.318275,,10,80,7026671210.000000,0.032289,0.105034,18.000000,11.000000,9206698,0.445503,0.445503,0.730159,0.315344,0.301587,0.691005,0.759788,0.466138,,,,,-249.470105,0.017211,0.014903,0.020523,87.952381,24.139429,0.039778,0.017211,80,validation_pairwise_bootstrap
7324,0.304385,0.575514,0.017186,0.135307,2.109389,0.825530,,73,81,3198639985.000000,0.001091,0.253693,17.000000,14.000000,234437714,0.437037,0.437037,0.680423,0.673016,0.721693,0.531217,0.429630,0.806878,,,,,-249.484365,0.017186,0.015355,0.019454,87.476190,18.075553,0.052423,0.017186,81,validation_pairwise_bootstrap
4821,0.339527,0.584076,0.017060,0.172486,1.111733,0.360830,,48,82,4620544483.000000,0.005136,0.065101,19.000000,19.000000,18391038,0.940741,0.940741,0.932275,0.445503,0.333333,0.602116,0.483598,0.629101,,,,,-249.488846,0.017060,0.014902,0.019400,89.809524,19.819709,0.048031,0.017060,82,validation_pairwise_bootstrap
0904,0.323649,0.580213,0.017009,0.176343,-1.766583,-0.355846,,09,83,3616675339.000000,-0.029460,0.121299,19.000000,19.000000,5996552,0.797884,0.797884,0.953439,0.077249,0.017989,0.553439,0.230688,0.340741,,,,,-249.491544,0.017009,0.013978,0.020042,91.523810,32.118262,0.030195,0.017009,83,validation_pairwise_bootstrap
6806,0.310388,0.576980,0.017043,0.142427,2.169415,0.758248,,68,84,4550058291.000000,0.019565,0.059390,19.000000,19.000000,27478137,0.576720,0.576720,0.744974,0.684656,0.656085,0.601058,0.649735,0.695767,,,,,-249.496612,0.017043,0.014910,0.018771,89.476190,17.630112,0.053677,0.017043,84,validation_pairwise_bootstrap
8436,0.288177,0.571550,0.017045,0.122841,2.519527,0.948747,,84,85,7382021347.000000,0.023632,0.069484,16.000000,14.000000,686694105,0.141799,0.141799,0.532275,0.765079,0.814815,0.706878,0.691005,0.879894,,,,,-249.498488,0.017045,0.014648,0.018834,89.476190,22.434283,0.042673,0.017045,85,validation_pairwise_bootstrap
5401,0.332381,0.582339,0.017056,0.156555,0.985490,0.406138,,54,86,1203198178.000000,-0.002387,0.135924,19.000000,19.000000,7187457,0.894180,0.894180,0.847619,0.422222,0.371429,0.334392,0.404233,0.379894,,,,,-249.499839,0.017056,0.015081,0.019453,89.428571,15.998724,0.058828,0.017056,86,validation_pairwise_bootstrap
7310,0.345877,0.585617,0.017016,0.165230,1.258336,0.448095,,73,87,6069375408.000000,0.000562,0.061189,19.000000,19.000000,234437714,0.971429,0.971429,0.904762,0.479365,0.402116,0.657143,0.425397,0.806878,,,,,-249.506126,0.017016,0.014697,0.019715,90.285714,17.822252,0.053129,0.017016,87,validation_pairwise_bootstrap
3209,0.321764,0.579754,0.016971,0.161394,0.866271,0.399870,,32,88,6078566142.000000,0.006594,0.079641,19.000000,19.000000,11464810,0.779894,0.779894,0.878307,0.388360,0.362963,0.658201,0.505820,0.502116,,,,,-249.510741,0.016971,0.015261,0.018072,90.476190,14.404427,0.064916,0.016971,88,validation_pairwise_bootstrap
8468,0.316383,0.578442,0.016629,0.126534,2.184135,0.953087,,84,89,1015479683.000000,-0.049498,0.078603,18.000000,13.000000,686694105,0.704762,0.704762,0.578836,0.691005,0.816931,0.306878,0.136508,0.879894,,,,,-249.522007,0.016629,0.013196,0.019584,96.571429,30.846118,0.031401,0.016629,89,validation_pairwise_bootstrap
9604,0.309949,0.576873,0.016741,0.136130,0.472152,0.514303,,96,90,37814195.000000,-0.013437,0.113392,8.000000,7.000000,537631,0.570370,0.570370,0.686772,0.313228,0.457143,0.019048,0.321693,0.128042,0.000000,0.000000,0.000000,84461.000000,-249.523353,0.016741,0.014550,0.018724,93.571429,18.574359,0.051087,0.016741,90,validation_pairwise_bootstrap
9502,0.296917,0.573689,0.016577,0.136583,1.516926,0.491575,,95,91,3929388901.000000,0.090831,0.359021,17.000000,17.000000,9913606,0.281481,0.281481,0.688889,0.530159,0.432804,0.564021,0.937566,0.474074,,,,,-249.525163,0.016577,0.013684,0.018890,96.428571,24.402520,0.039366,0.016577,91,validation_pairwise_bootstrap
7213,0.319263,0.579145,0.016796,0.153401,1.145892,0.562547,,72,92,11999682002.000000,0.021413,0.042774,18.000000,16.000000,423064991,0.749206,0.749206,0.831746,0.456085,0.493122,0.776720,0.669841,0.828042,,,,,-249.527685,0.016796,0.015202,0.018916,92.952381,14.695241,0.063714,0.016796,92,validation_pairwise_bootstrap
5113,0.314617,0.578012,0.016648,0.124259,1.290792,0.469260,,51,93,16455452.000000,-0.065683,0.215796,2.000000,1.000000,3148169,0.673016,0.673016,0.548148,0.488889,0.417989,0.009524,0.094180,0.296296,0.000000,0.000000,0.000000,43654.000000,-249.530112,0.016648,0.014096,0.019715,95.523810,24.054737,0.039913,0.016648,93,validation_pairwise_bootstrap
7013,0.313534,0.577748,0.016659,0.152512,1.526145,0.541097,,70,94,8070157604.000000,-0.029427,0.151485,18.000000,17.000000,14556130,0.647619,0.647619,0.825397,0.534392,0.478307,0.723810,0.231746,0.566138,,,,,-249.533556,0.016659,0.014944,0.017677,94.571429,13.250594,0.070173,0.016659,94,validation_pairwise_bootstrap
8433,0.287179,0.571305,0.016254,0.127188,2.395947,0.967076,,84,95,20079494184.000000,0.015335,0.086289,19.000000,19.000000,686694105,0.130159,0.130159,0.588360,0.746032,0.830688,0.851852,0.602116,0.879894,,,,,-249.560747,0.016254,0.013045,0.018156,100.904762,27.405083,0.035205,0.016254,95,validation_pairwise_bootstrap
4411,0.314726,0.578038,0.016268,0.154760,0.979824,0.427781,,44,96,9688531112.000000,-0.003365,0.071425,19.000000,19.000000,9186633,0.674074,0.674074,0.842328,0.419048,0.391534,0.753439,0.390476,0.451852,,,,,-249.561769,0.016268,0.014397,0.017711,100.333333,17.602309,0.053757,0.016268,96,validation_pairwise_bootstrap
4813,0.330821,0.581959,0.016172,0.148368,0.864230,0.346021,,48,97,1969986628.000000,-0.014378,0.089558,16.000000,9.000000,18391038,0.880423,0.880423,0.803175,0.387302,0.325926,0.442328,0.316402,0.629101,,,,,-249.566080,0.016172,0.013394,0.018590,102.952381,26.915169,0.035823,0.016172,97,validation_pairwise_bootstrap
9501,0.303306,0.575251,0.016108,0.137551,1.570330,0.478055,,95,98,2644244035.000000,0.091636,0.358847,16.000000,13.000000,9913606,0.413757,0.413757,0.700000,0.548677,0.423810,0.500529,0.941799,0.474074,,,,,-249.567315,0.016108,0.013781,0.018639,103.238095,23.884454,0.040186,0.016108,98,validation_pairwise_bootstrap
4410,0.319992,0.579322,0.016059,0.162707,1.168335,0.401994,,44,99,8777112833.000000,0.042288,0.077732,19.000000,19.000000,9186633,0.757672,0.757672,0.887831,0.461376,0.365079,0.737566,0.824339,0.451852,,,,,-249.581657,0.016059,0.013437,0.017521,103.952381,21.484161,0.044476,0.016059,99,validation_pairwise_bootstrap
4107,0.334108,0.582759,0.016029,0.151107,-1.247631,-0.039769,,41,100,939740681.000000,-0.085185,0.072375,19.000000,19.000000,5423196,0.904762,0.904762,0.819048,0.118519,0.118519,0.292063,0.061376,0.324868,,,,,-249.582391,0.016029,0.013342,0.018091,104.238095,22.580870,0.042407,0.016029,100,validation_pairwise_bootstrap
