hs4,gnn_logit,gnn_score,score,density,pci,cog,complexity_gain,section,rank,global_demand_value,global_demand_growth,global_market_concentration,historical_active_years,historical_export_persistence,supply_capacity,gnn_logit_percentile,gnn_score_percentile,density_percentile,pci_percentile,cog_percentile,global_demand_value_percentile,global_demand_growth_percentile,supply_capacity_percentile,adamic_adar,jaccard,cn,pref_attach,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
3921,0.316377,0.578441,0.023442,0.166292,2.248977,0.000000,,39,15,26241494264.000000,0.017950,0.058731,19.000000,19.000000,94858830,0.703704,0.703704,0.907937,0.703704,0.142328,0.896296,0.631746,0.752381,,,,,-248.438297,0.023442,0.022217,0.024383,14.714286,2.639316,0.274777,0.023442,15,validation_pairwise_bootstrap
3802,0.303304,0.575250,0.023220,0.124008,-0.215115,0.261033,,38,16,2494621361.000000,-0.002874,0.084801,19.000000,19.000000,1221685981,0.412698,0.412698,0.544974,0.223280,0.266667,0.488889,0.397884,0.989947,,,,,-248.517238,0.023220,0.022609,0.023959,16.809524,3.289508,0.233127,0.023220,16,validation_pairwise_bootstrap
8434,0.308898,0.576616,0.023248,0.143341,2.005545,0.754389,,84,17,2014890465.000000,-0.004463,0.072703,17.000000,14.000000,686694105,0.541799,0.541799,0.756614,0.642328,0.649735,0.445503,0.382011,0.879894,,,,,-248.529557,0.023248,0.022324,0.024018,16.619048,2.716373,0.269080,0.023248,17,validation_pairwise_bootstrap
4822,0.319823,0.579281,0.023162,0.170449,0.901868,0.413963,,48,18,432818044.000000,0.005372,0.077599,15.000000,13.000000,18391038,0.755556,0.755556,0.923810,0.402116,0.379894,0.172487,0.488889,0.629101,,,,,-248.560170,0.023162,0.022233,0.024302,17.523810,4.136010,0.194704,0.023162,18,validation_pairwise_bootstrap
7312,0.308837,0.576601,0.022772,0.147243,1.375802,0.514140,,73,19,6510735336.000000,0.001604,0.094141,19.000000,19.000000,234437714,0.539683,0.539683,0.789418,0.504762,0.456085,0.670899,0.435979,0.806878,,,,,-248.680843,0.022772,0.021971,0.023645,21.428571,2.871393,0.258305,0.022772,19,validation_pairwise_bootstrap
2510,0.307370,0.576243,0.022791,0.144815,-1.677665,-0.188651,,25,20,2579346309.000000,-0.044186,0.189844,19.000000,19.000000,63461388,0.502646,0.502646,0.773545,0.083598,0.069841,0.495238,0.153439,0.721164,0.000000,0.000000,0.000000,74022.000000,-248.681391,0.022791,0.021603,0.023438,21.238095,6.007176,0.142711,0.022791,20,validation_pairwise_bootstrap
6401,0.333812,0.582687,0.022459,0.190048,-0.372450,0.078612,,64,21,1490236198.000000,-0.031212,0.190672,18.000000,18.000000,67651991,0.900529,0.900529,0.990476,0.202116,0.171429,0.372487,0.222222,0.738624,,,,,-248.772661,0.022459,0.021695,0.023558,24.761905,4.319444,0.187990,0.022459,21,validation_pairwise_bootstrap
8417,0.292318,0.572563,0.022360,0.134392,2.537457,1.022671,,84,22,4624048568.000000,-0.017943,0.098016,18.000000,16.000000,686694105,0.205291,0.205291,0.667725,0.768254,0.869841,0.603175,0.288889,0.879894,,,,,-248.783202,0.022360,0.021276,0.023324,25.666667,7.246236,0.121267,0.022360,22,validation_pairwise_bootstrap
5110,0.297023,0.573715,0.022128,0.108894,1.244719,0.687817,,51,23,3897459.000000,-0.065410,0.124904,3.000000,1.000000,3148169,0.284656,0.284656,0.320635,0.476190,0.593651,0.002116,0.095238,0.296296,0.000000,0.000000,0.000000,32266.000000,-248.790467,0.022128,0.020240,0.023228,28.238095,10.492196,0.087016,0.022128,23,validation_pairwise_bootstrap
6111,0.321594,0.579713,0.022323,0.184518,-0.989075,-0.092230,,61,24,6761181944.000000,0.004074,0.140671,19.000000,19.000000,121336323,0.775661,0.775661,0.978836,0.137566,0.099471,0.681481,0.467725,0.782011,,,,,-248.792360,0.022323,0.021239,0.023406,26.190476,4.797013,0.172503,0.022323,24,validation_pairwise_bootstrap
